,State,2014_total_production,2013_total_production,2012_total_production,2011_total_production,2010_total_production,2009_total_production,2008_total_production,2007_total_production,2006_total_production,2005_total_production,2004_total_production,2003_total_production,2002_total_production,2001_total_production,2000_total_production,1999_total_production,1998_total_production,1997_total_production,1996_total_production,1995_total_production,1994_total_production,1993_total_production,1992_total_production,1991_total_production,1990_total_production,1989_total_production,1988_total_production,1987_total_production,1986_total_production,1985_total_production,1984_total_production,1983_total_production,1982_total_production,1981_total_production,1980_total_production,1979_total_production,1978_total_production,1977_total_production,1976_total_production,1975_total_production,1974_total_production,1973_total_production,1972_total_production,1971_total_production,1970_total_production,1969_total_production,1968_total_production,1967_total_production,1966_total_production,1965_total_production,1964_total_production,1963_total_production,1962_total_production,1961_total_production,1960_total_production
25,MT,1161804,1104932,1008736,1104165,1148154,1081004,1217384,1219580,1204715,1145085,1066747,967916,972058,965029,972198,1048885,1056757,1038162,993508,989205,995632,916268,963833,999769,970535,964517,988124,923408,949539,946268,948816,883936,865152,974493,876240,933999,832732,823086,842103,742703,620795,537131,483883,469208,429097,427227,413358,337515,338565,324676,292485,290384,299975,301703,289631
26,NE,401699,370523,357156,390808,399822,293265,292830,260723,211639,201841,214449,174733,193441,179456,175822,190064,171329,180676,175084,149767,122992,124099,144130,136603,132716,142876,129821,150136,149583,110040,123807,125653,158255,125310,121796,149663,137769,134171,119514,119135,102452,70136,71805,78821,89355,92900,100658,101303,106179,125858,137751,156016,174716,172537,169409
27,NV,71140,70208,60252,53807,51846,49810,40829,40241,40912,37150,37066,36485,42668,46760,48361,53094,57762,53974,49257,48122,48953,51509,58437,58809,52929,48887,42653,46549,68958,67608,74118,51890,22265,25854,32507,26967,25685,22215,18287,19494,18511,18913,17854,19307,19186,20064,20714,20603,21412,18756,19321,20488,22551,20439,22267
28,NH,161033,166328,129929,131919,156829,137607,137632,147720,131180,139977,141059,126529,125952,120966,121239,129575,128575,126019,151034,127523,105198,137476,124604,112058,90006,40567,36549,34985,38742,33807,35004,38209,33759,36067,32382,33548,31004,31271,31050,25853,28694,30671,26131,24733,25321,27816,25155,24089,24343,22019,23707,24450,25119,23327,25629
29,NJ,388386,403225,393682,390931,376845,393177,359904,356290,361607,347214,309421,336260,350903,347145,338277,342564,323430,185210,157028,219773,272712,298855,264706,296030,277649,278598,295141,275599,197788,238434,109641,129314,204666,183186,131576,115019,131035,113451,77679,65594,74097,69377,76562,68077,63823,26536,24678,23695,23570,23693,23947,23397,21199,20749,20514
30,NM,2514744,2367423,2315892,2260681,2255073,2409551,2476997,2530852,2648740,2751898,2735017,2695995,2716976,2780060,2728303,2576134,2596628,2668895,2597968,2685751,2626307,2538819,2311744,2011423,1978607,1847896,1778149,1775059,1694065,1950514,1973081,1854975,1939668,2085102,2117463,2142099,2083557,2102230,2121712,2105374,2164195,2153300,2214920,2205841,2208470,2159609,2166443,2040912,1936081,1844925,1741976,1618611,1587290,1583834,1562831
31,NY,871720,872500,817908,879395,836703,872925,904701,867642,878338,866262,830915,819268,816254,802142,777268,823734,805743,819665,829656,688651,737528,727476,674560,703189,669107,644724,649352,670002,698546,710139,670047,637603,578391,627581,635743,590397,611301,579470,555822,512104,476780,453762,427421,406058,382753,365937,346053,330339,310674,284204,266024,280859,292252,266311,204924
32,NC,595660,606427,560887,572796,576162,575843,558511,532752,553667,562540,557870,607891,539016,521839,544295,531858,566455,505386,525518,546024,524891,406874,397957,455081,442853,476816,424322,433531,328722,341806,379256,284453,244359,177049,198907,265719,267673,207562,164716,155305,139607,142789,135756,128148,111796,119495,117146,118616,114335,123608,131745,116481,127402,120692,127507
33,ND,3261360,2634178,2135154,1518406,1253749,1016810,873173,764298,726527,690673,667906,667147,672993,671200,690675,696137,692380,700136,678795,658491,679015,690824,695583,686679,689480,690983,717477,675146,700556,767776,710775,660892,606712,582403,538818,432307,395151,347508,341524,294273,280165,270552,279099,281767,276052,267375,282879,282336,283817,260710,248232,234514,228115,214048,197457
34,OH,1547368,1149882,1067944,1067943,1032440,1044905,1045979,898909,910361,935397,914377,805676,799363,951077,930387,925535,1057207,1095988,1072325,1048593,1094230,1035810,1155351,1163957,1232800,1254401,1257327,1285494,1241913,1259635,1372227,1218392,1220791,1234539,1227811,1278865,1195158,1283144,1228613,1208179,1192547,1225255,1386992,1379916,1453233,1361204,1285783,1219004,1165689,1074454,1043677,973973,909007,862418,901866
